S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
577,Japan,2021,Man in the Middle,Communications,"$18,910,000","549,640",Nation-state,Social Engineering,Encryption,17
578,USA,2024,DDoS,Retail,"$15,340,000","1,068",Insider,Social Engineering,Firewall,3
579,France,2018,DDoS,Communications,"$12,720,000","959,835",Unknown,Zero-day,Firewall,38
580,USA,2024,Ransomware,Retail,"$46,590,000","227,390",Insider,Weak Passwords,AI-based Detection,40
581,France,2021,SQL Injection,Banking,"$62,900,000","577,763",Insider,Zero-day,AI-based Detection,43
582,Japan,2018,SQL Injection,Healthcare,"$85,330,000","786,644",Nation-state,Unpatched Software,Antivirus,41
583,China,2016,Malware,Healthcare,"$85,150,000","454,802",Insider,Unpatched Software,Antivirus,48
584,China,2024,DDoS,Healthcare,"$53,530,000","371,685",Unknown,Social Engineering,VPN,34
585,India,2023,Ransomware,Retail,"$4,320,000","217,534",Unknown,Unpatched Software,VPN,48
586,Australia,2024,Man in the Middle,Communications,"$31,680,000","376,612",Nation-state,Unpatched Software,VPN,27
587,UK,2020,Phishing,Banking,"$84,770,000","812,206",Hacker Group,Unpatched Software,Encryption,39
588,Australia,2021,Man in the Middle,Banking,"$82,870,000","255,967",Unknown,Social Engineering,VPN,23
589,USA,2023,DDoS,Healthcare,"$5,320,000","463,332",Unknown,Weak Passwords,Encryption,16
590,Australia,2023,DDoS,IT,"$31,480,000","771,547",Hacker Group,Zero-day,Antivirus,5
591,UK,2020,DDoS,Retail,"$86,000,000","809,209",Unknown,Social Engineering,Encryption,26
592,India,2024,DDoS,Retail,"$35,470,000","342,575",Insider,Social Engineering,Firewall,49
593,Japan,2024,Phishing,Retail,"$94,750,000","478,963",Insider,Zero-day,VPN,70
594,USA,2017,SQL Injection,Banking,"$39,590,000","910,393",Unknown,Weak Passwords,Antivirus,52
595,Australia,2024,Phishing,Banking,"$70,520,000","601,198",Insider,Zero-day,Encryption,41
596,UK,2018,Ransomware,Government,"$6,600,000","152,302",Hacker Group,Social Engineering,AI-based Detection,26
597,USA,2016,SQL Injection,Healthcare,"$25,850,000","79,102",Nation-state,Zero-day,AI-based Detection,4
598,India,2017,Ransomware,Retail,"$80,930,000","837,506",Nation-state,Zero-day,Antivirus,8
599,Germany,2018,Malware,Banking,"$63,810,000","347,441",Hacker Group,Social Engineering,Firewall,58
600,USA,2021,Ransomware,Communications,"$3,630,000","231,198",Insider,Unpatched Software,Encryption,42
601,Brazil,2016,DDoS,Government,"$80,090,000","555,275",Unknown,Social Engineering,Antivirus,71
602,UK,2016,SQL Injection,Retail,"$24,510,000","46,699",Unknown,Zero-day,Antivirus,53
603,UK,2024,Man in the Middle,IT,"$56,230,000","706,469",Unknown,Unpatched Software,Encryption,17
604,China,2018,Ransomware,IT,"$43,730,000","311,165",Unknown,Social Engineering,AI-based Detection,34
605,France,2019,SQL Injection,Government,"$85,130,000","304,257",Nation-state,Weak Passwords,Antivirus,20
606,Brazil,2017,SQL Injection,Communications,"$24,050,000","446,378",Insider,Unpatched Software,Antivirus,59
607,China,2021,Ransomware,Healthcare,"$32,720,000","994,243",Hacker Group,Social Engineering,Firewall,54
608,UK,2015,Phishing,Healthcare,"$81,750,000","98,634",Unknown,Social Engineering,VPN,5
609,USA,2018,Phishing,Communications,"$42,460,000","93,999",Nation-state,Social Engineering,Encryption,65
610,France,2017,SQL Injection,Education,"$14,540,000","171,095",Hacker Group,Zero-day,AI-based Detection,63
611,USA,2015,Man in the Middle,IT,"$38,920,000","820,182",Nation-state,Weak Passwords,Antivirus,16
612,Germany,2018,SQL Injection,Communications,"$4,200,000","164,890",Insider,Weak Passwords,Encryption,61
613,China,2015,SQL Injection,Communications,"$75,910,000","605,020",Insider,Unpatched Software,Antivirus,43
614,Australia,2024,Ransomware,Education,"$44,950,000","500,747",Insider,Unpatched Software,AI-based Detection,58
615,Japan,2020,Man in the Middle,IT,"$35,790,000","854,904",Insider,Weak Passwords,Firewall,12
616,China,2020,SQL Injection,Healthcare,"$62,440,000","55,719",Unknown,Unpatched Software,Firewall,71
617,Brazil,2015,Phishing,Retail,"$19,930,000","355,008",Hacker Group,Unpatched Software,Antivirus,31
618,UK,2019,Phishing,IT,"$75,310,000","428,615",Unknown,Social Engineering,AI-based Detection,66
619,Australia,2015,Phishing,Healthcare,"$76,400,000","108,767",Nation-state,Unpatched Software,VPN,48
620,India,2020,Man in the Middle,IT,"$28,690,000","939,469",Insider,Unpatched Software,Encryption,45
621,UK,2019,Man in the Middle,Government,"$23,930,000","325,827",Nation-state,Zero-day,Antivirus,39
622,UK,2017,Man in the Middle,Education,"$30,440,000","996,762",Hacker Group,Social Engineering,AI-based Detection,27
623,Japan,2017,Phishing,IT,"$5,140,000","319,868",Hacker Group,Unpatched Software,VPN,52
624,Brazil,2018,Man in the Middle,Banking,"$1,010,000","66,191",Hacker Group,Weak Passwords,AI-based Detection,71
625,India,2023,Ransomware,IT,"$18,530,000","925,373",Insider,Zero-day,AI-based Detection,4
626,India,2015,Malware,Communications,"$1,520,000","913,114",Insider,Unpatched Software,VPN,15
627,Australia,2019,DDoS,Healthcare,"$84,890,000","163,975",Nation-state,Unpatched Software,Firewall,22
628,USA,2016,DDoS,Education,"$66,730,000","876,135",Insider,Unpatched Software,AI-based Detection,67
629,China,2024,Ransomware,Government,"$72,610,000","595,380",Hacker Group,Zero-day,VPN,10
630,France,2020,DDoS,Government,"$44,160,000","840,796",Nation-state,Weak Passwords,AI-based Detection,5
631,UK,2022,DDoS,Communications,"$80,050,000","484,908",Unknown,Weak Passwords,Firewall,42
632,Russia,2018,SQL Injection,Communications,"$13,690,000","146,100",Unknown,Social Engineering,Encryption,22
633,USA,2021,Phishing,IT,"$29,020,000","555,756",Insider,Zero-day,AI-based Detection,21
634,India,2017,Ransomware,Retail,"$69,910,000","340,928",Unknown,Social Engineering,Antivirus,61
635,UK,2016,Malware,Communications,"$3,760,000","678,640",Insider,Zero-day,Encryption,44
636,Brazil,2020,Phishing,IT,"$57,430,000","212,798",Insider,Social Engineering,Antivirus,31
637,UK,2019,Ransomware,Retail,"$63,450,000","354,024",Unknown,Weak Passwords,AI-based Detection,33
638,UK,2016,Man in the Middle,Government,"$41,340,000","189,354",Insider,Zero-day,Firewall,39
639,Australia,2022,Phishing,Education,"$22,730,000","648,363",Unknown,Zero-day,VPN,47
640,Brazil,2017,DDoS,IT,"$5,880,000","231,114",Insider,Weak Passwords,AI-based Detection,37
641,India,2017,Ransomware,Banking,"$9,810,000","489,620",Unknown,Unpatched Software,VPN,43
642,USA,2015,DDoS,IT,"$94,140,000","854,005",Unknown,Zero-day,AI-based Detection,14
643,Germany,2017,Ransomware,IT,"$33,240,000","550,719",Hacker Group,Zero-day,AI-based Detection,60
644,Germany,2019,Man in the Middle,Government,"$75,370,000","445,254",Hacker Group,Unpatched Software,VPN,42
645,Japan,2020,Phishing,Education,"$49,170,000","218,097",Unknown,Zero-day,VPN,32
646,Germany,2017,Malware,Communications,"$94,870,000","324,790",Insider,Zero-day,VPN,42
647,India,2023,SQL Injection,Government,"$28,710,000","497,965",Unknown,Unpatched Software,VPN,25
648,Australia,2023,SQL Injection,Education,"$42,500,000","933,030",Insider,Social Engineering,Antivirus,27
649,UK,2015,Man in the Middle,IT,"$53,070,000","538,338",Nation-state,Zero-day,VPN,1
650,France,2018,Phishing,Retail,"$99,780,000","860,459",Hacker Group,Social Engineering,AI-based Detection,11
651,UK,2024,DDoS,Healthcare,"$82,870,000","276,634",Unknown,Unpatched Software,Antivirus,38
652,Germany,2018,Man in the Middle,Banking,"$81,460,000","316,299",Insider,Social Engineering,Firewall,66
653,Japan,2023,Ransomware,Healthcare,"$33,660,000","410,385",Unknown,Zero-day,Encryption,71
654,Japan,2024,DDoS,Healthcare,"$99,280,000","589,898",Unknown,Weak Passwords,VPN,59
655,France,2016,Man in the Middle,Retail,"$14,860,000","63,760",Hacker Group,Weak Passwords,VPN,8
656,USA,2015,Ransomware,Banking,"$33,750,000","58,037",Insider,Social Engineering,VPN,13
657,UK,2017,SQL Injection,Government,"$82,030,000","994,787",Nation-state,Unpatched Software,Encryption,56
658,India,2016,Ransomware,Retail,"$9,530,000","89,719",Unknown,Zero-day,Firewall,68
659,Germany,2023,SQL Injection,Communications,"$6,090,000","590,760",Unknown,Unpatched Software,Firewall,32
660,UK,2022,DDoS,IT,"$29,050,000","186,700",Insider,Weak Passwords,Antivirus,37
661,Japan,2019,SQL Injection,Education,"$89,480,000","682,430",Hacker Group,Zero-day,VPN,5
662,Australia,2018,SQL Injection,Education,"$75,200,000","60,868",Insider,Social Engineering,Antivirus,46
663,France,2016,SQL Injection,Government,"$29,330,000","182,916",Nation-state,Unpatched Software,Antivirus,17
664,France,2023,DDoS,Education,"$65,960,000","181,879",Insider,Weak Passwords,Antivirus,64
665,Australia,2017,Phishing,Retail,"$95,200,000","715,732",Unknown,Weak Passwords,Antivirus,11
666,UK,2023,Malware,Banking,"$16,020,000","452,477",Hacker Group,Zero-day,Encryption,23
667,India,2018,Ransomware,Banking,"$11,190,000","168,881",Insider,Social Engineering,AI-based Detection,5
668,France,2017,SQL Injection,Healthcare,"$27,420,000","94,235",Insider,Social Engineering,Antivirus,29
669,Australia,2015,Ransomware,Communications,"$17,380,000","75,314",Unknown,Unpatched Software,Encryption,6
670,Russia,2019,Man in the Middle,Retail,"$99,530,000","515,797",Nation-state,Social Engineering,Firewall,46
671,Russia,2024,DDoS,Communications,"$55,050,000","363,906",Insider,Weak Passwords,Antivirus,31
672,UK,2022,DDoS,Education,"$79,600,000","446,296",Unknown,Zero-day,AI-based Detection,4
673,Russia,2017,Ransomware,Communications,"$65,180,000","329,972",Nation-state,Unpatched Software,Firewall,48
674,China,2017,Ransomware,Education,"$25,730,000","639,190",Insider,Social Engineering,Encryption,33
675,USA,2022,Ransomware,Government,"$33,710,000","135,105",Unknown,Unpatched Software,VPN,48
676,China,2015,DDoS,Education,"$94,740,000","103,079",Nation-state,Social Engineering,Antivirus,57
677,France,2018,DDoS,IT,"$75,880,000","822,364",Unknown,Zero-day,VPN,71
678,India,2021,SQL Injection,Government,"$75,250,000","597,509",Nation-state,Social Engineering,Firewall,20
679,Brazil,2023,Man in the Middle,Communications,"$90,370,000","705,678",Hacker Group,Zero-day,Antivirus,57
680,France,2020,Phishing,Retail,"$14,450,000","309,967",Unknown,Zero-day,Firewall,26
681,France,2022,Ransomware,Banking,"$54,470,000","604,250",Unknown,Social Engineering,AI-based Detection,63
682,India,2024,Ransomware,IT,"$33,660,000","131,900",Unknown,Unpatched Software,Antivirus,21
683,Australia,2022,Ransomware,Government,"$84,510,000","305,494",Insider,Social Engineering,Firewall,19
684,Brazil,2023,Malware,Healthcare,"$61,560,000","907,121",Unknown,Social Engineering,VPN,33
685,India,2024,Phishing,Banking,"$23,320,000","879,162",Unknown,Zero-day,VPN,38
686,Brazil,2017,Man in the Middle,Communications,"$43,710,000","57,237",Unknown,Unpatched Software,Firewall,52
687,Australia,2016,Phishing,Communications,"$2,840,000","880,127",Insider,Social Engineering,Antivirus,67
688,China,2017,Phishing,IT,"$71,400,000","698,847",Insider,Zero-day,AI-based Detection,17
689,India,2022,Man in the Middle,Banking,"$90,870,000","928,859",Unknown,Unpatched Software,Firewall,32
690,India,2017,SQL Injection,IT,"$78,940,000","858,565",Unknown,Weak Passwords,Encryption,29
691,China,2022,Malware,Communications,"$34,330,000","571,265",Unknown,Unpatched Software,Firewall,17
692,Russia,2015,DDoS,Banking,"$40,640,000","259,321",Nation-state,Social Engineering,AI-based Detection,62
693,Brazil,2022,Man in the Middle,Banking,"$59,430,000","121,504",Insider,Weak Passwords,AI-based Detection,32
694,France,2018,DDoS,Banking,"$50,750,000","670,630",Nation-state,Zero-day,Antivirus,4
695,China,2024,Ransomware,Banking,"$72,180,000","277,175",Insider,Social Engineering,Firewall,72
696,USA,2016,Man in the Middle,Retail,"$23,350,000","952,463",Nation-state,Unpatched Software,Antivirus,26
697,UK,2020,DDoS,Government,"$78,320,000","624,619",Unknown,Weak Passwords,AI-based Detection,67
698,China,2018,Phishing,Healthcare,"$20,220,000","363,934",Insider,Weak Passwords,Firewall,24
699,Japan,2017,SQL Injection,IT,"$33,150,000","44,750",Unknown,Unpatched Software,Firewall,22
700,UK,2021,DDoS,Banking,"$8,820,000","736,601",Nation-state,Zero-day,AI-based Detection,26
701,Japan,2018,Ransomware,Education,"$43,320,000","42,876",Unknown,Unpatched Software,Antivirus,40
702,Australia,2018,DDoS,Healthcare,"$90,400,000","536,357",Nation-state,Weak Passwords,Encryption,55
703,USA,2017,Phishing,Government,"$55,340,000","785,099",Insider,Social Engineering,Encryption,29
704,France,2019,DDoS,Healthcare,"$27,890,000","460,544",Unknown,Weak Passwords,Firewall,29
705,France,2020,Ransomware,Education,"$66,040,000","881,755",Unknown,Zero-day,Firewall,10
706,India,2024,SQL Injection,Communications,"$10,240,000","213,393",Unknown,Social Engineering,Encryption,49
707,UK,2017,Man in the Middle,Communications,"$43,820,000","213,979",Hacker Group,Unpatched Software,Firewall,10
708,UK,2021,Malware,Communications,"$3,170,000","570,243",Insider,Unpatched Software,Antivirus,51
709,Brazil,2016,Malware,Government,"$72,730,000","47,624",Nation-state,Weak Passwords,Firewall,70
710,China,2024,Man in the Middle,Banking,"$16,090,000","72,940",Nation-state,Zero-day,VPN,26
711,Japan,2020,Malware,Communications,"$98,140,000","710,142",Insider,Zero-day,AI-based Detection,56
712,Japan,2023,Malware,Retail,"$51,910,000","360,524",Hacker Group,Unpatched Software,Firewall,47
713,France,2017,Phishing,IT,"$55,900,000","309,259",Insider,Zero-day,AI-based Detection,3
714,UK,2024,Phishing,Government,"$30,680,000","393,201",Nation-state,Social Engineering,Firewall,3
715,Germany,2020,Ransomware,IT,"$65,200,000","306,799",Unknown,Zero-day,Encryption,61
716,Russia,2022,Malware,Healthcare,"$81,920,000","30,180",Insider,Weak Passwords,AI-based Detection,53
717,India,2017,Phishing,Retail,"$97,870,000","113,745",Unknown,Unpatched Software,Encryption,2
718,Japan,2024,Ransomware,Banking,"$24,220,000","584,428",Nation-state,Weak Passwords,Firewall,34
719,France,2020,Ransomware,Healthcare,"$3,270,000","178,268",Nation-state,Unpatched Software,Antivirus,2
720,China,2022,Phishing,Retail,"$33,690,000","338,578",Unknown,Social Engineering,AI-based Detection,38
721,China,2024,DDoS,Healthcare,"$7,310,000","972,407",Hacker Group,Zero-day,Encryption,51
722,Brazil,2022,Ransomware,Banking,"$15,660,000","817,169",Insider,Unpatched Software,Firewall,54
723,Australia,2015,Malware,Healthcare,"$62,340,000","796,100",Hacker Group,Social Engineering,AI-based Detection,20
724,UK,2016,Man in the Middle,Banking,"$76,060,000","530,253",Unknown,Weak Passwords,Encryption,28
725,Australia,2024,Man in the Middle,Government,"$50,360,000","165,496",Nation-state,Weak Passwords,Encryption,72
726,Russia,2021,Ransomware,Banking,"$34,920,000","501,490",Insider,Social Engineering,Firewall,44
727,India,2016,Malware,Banking,"$11,810,000","392,365",Insider,Social Engineering,Antivirus,72
728,China,2022,Malware,Education,"$96,720,000","194,617",Insider,Social Engineering,Antivirus,31
729,Japan,2022,Man in the Middle,Retail,"$44,340,000","516,125",Unknown,Zero-day,Firewall,67
730,Australia,2021,Man in the Middle,Communications,"$67,720,000","393,335",Hacker Group,Social Engineering,Antivirus,31
731,UK,2018,SQL Injection,Government,"$34,090,000","197,436",Unknown,Zero-day,Antivirus,10
732,France,2022,DDoS,Education,"$31,510,000","452,360",Nation-state,Zero-day,Antivirus,65
733,Australia,2018,DDoS,Healthcare,"$20,390,000","913,090",Unknown,Zero-day,VPN,2
734,Germany,2018,SQL Injection,Communications,"$38,650,000","368,222",Insider,Zero-day,VPN,56
735,India,2022,SQL Injection,Healthcare,"$77,300,000","826,937",Unknown,Zero-day,AI-based Detection,64
736,Brazil,2015,Ransomware,Retail,"$89,930,000","673,959",Hacker Group,Zero-day,Firewall,39
737,UK,2022,Ransomware,Education,"$4,290,000","383,246",Nation-state,Unpatched Software,VPN,45
738,UK,2019,Man in the Middle,Banking,"$76,030,000","422,890",Insider,Social Engineering,VPN,4
739,Australia,2020,Malware,Banking,"$42,300,000","497,035",Hacker Group,Zero-day,AI-based Detection,66
740,Brazil,2023,Phishing,Government,"$72,570,000","720,220",Unknown,Weak Passwords,Firewall,71
741,Russia,2019,Phishing,Government,"$93,700,000","808,318",Nation-state,Social Engineering,Antivirus,57
742,Germany,2022,SQL Injection,IT,"$68,630,000","294,981",Unknown,Zero-day,AI-based Detection,3
743,USA,2017,Phishing,Healthcare,"$52,700,000","281,182",Nation-state,Zero-day,Encryption,27
744,Australia,2017,Ransomware,Education,"$66,560,000","95,750",Nation-state,Zero-day,Antivirus,44
745,Brazil,2015,Ransomware,Retail,"$91,030,000","879,260",Hacker Group,Social Engineering,Antivirus,16
746,Russia,2017,Man in the Middle,IT,"$14,740,000","561,615",Hacker Group,Weak Passwords,Antivirus,29
747,Brazil,2016,SQL Injection,Retail,"$40,290,000","206,598",Unknown,Zero-day,Encryption,45
748,Brazil,2017,Man in the Middle,IT,"$56,830,000","171,305",Unknown,Unpatched Software,Firewall,54
749,Russia,2024,SQL Injection,Government,"$63,450,000","492,909",Unknown,Zero-day,AI-based Detection,42
750,UK,2021,Man in the Middle,IT,"$72,570,000","477,493",Hacker Group,Unpatched Software,Encryption,16
751,Japan,2021,Phishing,Government,"$22,940,000","622,723",Nation-state,Weak Passwords,AI-based Detection,67
752,Australia,2016,Malware,Healthcare,"$80,220,000","124,155",Nation-state,Weak Passwords,Encryption,40
753,China,2024,Malware,Retail,"$34,490,000","897,277",Unknown,Zero-day,VPN,55
754,USA,2017,SQL Injection,Healthcare,"$51,260,000","28,682",Hacker Group,Zero-day,VPN,44
755,Japan,2020,Phishing,Banking,"$73,040,000","512,431",Nation-state,Unpatched Software,VPN,44
756,Australia,2018,SQL Injection,IT,"$19,140,000","171,977",Unknown,Zero-day,Antivirus,44
757,UK,2015,SQL Injection,Communications,"$38,720,000","943,070",Hacker Group,Zero-day,VPN,36
758,Japan,2021,DDoS,Education,"$14,880,000","887,855",Nation-state,Zero-day,AI-based Detection,7
759,USA,2018,Ransomware,Retail,"$54,050,000","535,110",Nation-state,Zero-day,Antivirus,2
760,USA,2021,Man in the Middle,Communications,"$42,290,000","817,386",Nation-state,Zero-day,Firewall,8
761,India,2018,Phishing,Banking,"$96,590,000","206,552",Nation-state,Weak Passwords,Encryption,13
762,Brazil,2020,Man in the Middle,Education,"$71,350,000","154,966",Hacker Group,Zero-day,Antivirus,19
763,France,2016,Phishing,Banking,"$54,500,000","511,287",Unknown,Unpatched Software,Antivirus,34
764,Germany,2023,SQL Injection,Banking,"$94,480,000","426,499",Unknown,Unpatched Software,VPN,37
765,UK,2016,Man in the Middle,Communications,"$73,630,000","15,907",Hacker Group,Social Engineering,Antivirus,36
766,UK,2022,Phishing,Education,"$36,150,000","375,734",Nation-state,Weak Passwords,AI-based Detection,31
767,Brazil,2023,Malware,Government,"$19,180,000","993,826",Unknown,Zero-day,Firewall,7
768,India,2023,Ransomware,Banking,"$83,180,000","397,813",Nation-state,Social Engineering,Antivirus,12
769,France,2024,Ransomware,Banking,"$70,980,000","185,001",Insider,Zero-day,VPN,3
770,Japan,2024,DDoS,IT,"$7,990,000","805,548",Insider,Unpatched Software,Antivirus,10
771,Brazil,2015,SQL Injection,Retail,"$74,740,000","562,552",Nation-state,Unpatched Software,Encryption,37
772,Brazil,2018,Malware,Education,"$33,120,000","724,513",Nation-state,Zero-day,VPN,46
773,UK,2024,SQL Injection,Communications,"$54,100,000","715,395",Unknown,Social Engineering,VPN,60
774,France,2020,Ransomware,Communications,"$75,130,000","177,097",Unknown,Unpatched Software,Encryption,15
775,Australia,2020,Man in the Middle,Banking,"$56,340,000","407,084",Unknown,Unpatched Software,Firewall,11
776,UK,2023,Phishing,Healthcare,"$23,660,000","889,641",Hacker Group,Social Engineering,AI-based Detection,50
777,USA,2019,SQL Injection,IT,"$17,810,000","378,105",Unknown,Weak Passwords,Encryption,4
778,Germany,2020,SQL Injection,Education,"$43,960,000","597,987",Hacker Group,Weak Passwords,Encryption,50
779,USA,2018,Malware,Education,"$77,070,000","10,600",Insider,Social Engineering,Firewall,47
780,France,2016,SQL Injection,Healthcare,"$10,820,000","586,784",Hacker Group,Weak Passwords,Encryption,26
781,India,2023,SQL Injection,Banking,"$48,530,000","421,083",Insider,Unpatched Software,AI-based Detection,28
782,Australia,2023,Ransomware,Education,"$94,860,000","127,127",Unknown,Social Engineering,Encryption,47
783,China,2016,Malware,Government,"$15,920,000","668,188",Insider,Unpatched Software,AI-based Detection,38
784,Japan,2018,SQL Injection,Education,"$11,280,000","433,618",Hacker Group,Social Engineering,Antivirus,59
785,Germany,2023,Malware,Communications,"$3,860,000","51,176",Unknown,Social Engineering,Encryption,61
786,Germany,2016,SQL Injection,IT,"$34,350,000","918,452",Unknown,Weak Passwords,AI-based Detection,16
787,Germany,2023,Ransomware,Healthcare,"$84,920,000","152,814",Nation-state,Social Engineering,AI-based Detection,33
788,USA,2017,Man in the Middle,Retail,"$74,570,000","502,149",Hacker Group,Weak Passwords,AI-based Detection,29
789,USA,2019,Ransomware,Healthcare,"$89,810,000","46,960",Nation-state,Zero-day,AI-based Detection,16
790,Brazil,2017,SQL Injection,Government,"$40,660,000","651,335",Insider,Weak Passwords,Encryption,21
791,Brazil,2018,DDoS,Communications,"$69,830,000","587,034",Hacker Group,Weak Passwords,AI-based Detection,35
792,France,2015,Man in the Middle,Healthcare,"$79,580,000","856,278",Hacker Group,Zero-day,Firewall,71
793,China,2022,DDoS,Banking,"$79,070,000","880,586",Hacker Group,Unpatched Software,VPN,56
794,USA,2019,DDoS,Government,"$81,560,000","78,873",Hacker Group,Weak Passwords,Encryption,27
795,Australia,2017,DDoS,Banking,"$62,810,000","810,106",Hacker Group,Weak Passwords,Encryption,66
796,Germany,2021,DDoS,Government,"$28,710,000","937,384",Hacker Group,Unpatched Software,Encryption,67
797,Japan,2023,Man in the Middle,Retail,"$36,680,000","231,307",Unknown,Zero-day,Encryption,4
798,China,2016,DDoS,IT,"$71,750,000","816,710",Hacker Group,Weak Passwords,VPN,60
799,USA,2019,Man in the Middle,Communications,"$17,210,000","896,828",Unknown,Weak Passwords,Firewall,33
800,UK,2016,DDoS,Communications,"$48,470,000","937,466",Hacker Group,Social Engineering,AI-based Detection,28
801,China,2020,DDoS,Banking,"$11,720,000","81,518",Nation-state,Social Engineering,VPN,47
802,Brazil,2015,Malware,IT,"$1,350,000","371,048",Hacker Group,Zero-day,VPN,56
803,USA,2019,Phishing,IT,"$20,130,000","25,946",Hacker Group,Weak Passwords,AI-based Detection,68
804,France,2017,Man in the Middle,Education,"$14,990,000","942,088",Insider,Zero-day,AI-based Detection,46
805,Japan,2015,Malware,Communications,"$28,800,000","915,532",Insider,Zero-day,Encryption,68
806,USA,2018,SQL Injection,Government,"$99,490,000","755,576",Insider,Weak Passwords,AI-based Detection,23
807,Brazil,2018,Malware,Education,"$6,300,000","661,644",Insider,Social Engineering,AI-based Detection,29
808,UK,2019,DDoS,Communications,"$95,750,000","168,951",Insider,Social Engineering,VPN,13
809,Russia,2022,Man in the Middle,IT,"$49,870,000","816,398",Insider,Social Engineering,Encryption,39
810,India,2017,DDoS,Education,"$83,490,000","79,933",Hacker Group,Zero-day,AI-based Detection,23
811,USA,2019,Malware,Government,"$83,840,000","506,149",Nation-state,Social Engineering,Encryption,35
812,Japan,2021,Phishing,Retail,"$81,260,000","245,015",Nation-state,Zero-day,Firewall,41
813,Japan,2017,SQL Injection,Banking,"$66,810,000","966,993",Hacker Group,Social Engineering,VPN,64
814,Australia,2016,Malware,Education,"$88,870,000","235,062",Nation-state,Weak Passwords,Firewall,32
815,Brazil,2022,Phishing,Healthcare,"$75,080,000","132,520",Unknown,Zero-day,Antivirus,56
816,Germany,2016,SQL Injection,Retail,"$56,570,000","869,605",Unknown,Social Engineering,VPN,51
817,USA,2017,Phishing,Banking,"$96,270,000","637,264",Hacker Group,Unpatched Software,AI-based Detection,11
818,Russia,2021,DDoS,Banking,"$45,600,000","759,356",Insider,Social Engineering,VPN,1
819,Brazil,2021,DDoS,Education,"$69,370,000","666,096",Hacker Group,Zero-day,Encryption,9
820,India,2021,SQL Injection,Communications,"$68,910,000","851,981",Nation-state,Zero-day,AI-based Detection,57
821,Australia,2024,Phishing,Banking,"$14,970,000","214,740",Nation-state,Unpatched Software,Encryption,57
822,Brazil,2016,Phishing,Government,"$35,940,000","372,653",Hacker Group,Weak Passwords,VPN,60
823,India,2024,Phishing,Banking,"$64,230,000","903,871",Nation-state,Unpatched Software,Encryption,17
824,India,2015,Malware,Education,"$64,290,000","924,049",Nation-state,Social Engineering,VPN,5
825,Australia,2020,Malware,Government,"$98,050,000","193,983",Nation-state,Zero-day,Antivirus,31
826,Russia,2021,Ransomware,Communications,"$11,040,000","904,330",Nation-state,Weak Passwords,VPN,49
827,India,2018,SQL Injection,Education,"$52,050,000","874,254",Nation-state,Zero-day,Antivirus,11
828,Germany,2020,Man in the Middle,Healthcare,"$28,810,000","691,190",Nation-state,Unpatched Software,Firewall,27
829,China,2024,DDoS,IT,"$61,420,000","412,245",Nation-state,Social Engineering,Encryption,48
830,France,2021,Man in the Middle,Healthcare,"$53,770,000","302,180",Insider,Weak Passwords,AI-based Detection,11
831,USA,2016,Ransomware,Government,"$8,210,000","537,592",Nation-state,Social Engineering,Antivirus,11
832,Brazil,2022,SQL Injection,Retail,"$25,850,000","632,061",Nation-state,Zero-day,Antivirus,2
833,Brazil,2015,DDoS,Retail,"$67,520,000","224,815",Nation-state,Social Engineering,Firewall,32
834,India,2022,DDoS,IT,"$23,910,000","169,310",Unknown,Weak Passwords,Encryption,36
835,Japan,2023,Man in the Middle,Communications,"$86,980,000","635,827",Nation-state,Social Engineering,Encryption,72
836,UK,2022,Ransomware,IT,"$63,670,000","560,021",Unknown,Zero-day,Encryption,43
837,Japan,2021,Man in the Middle,Government,"$61,030,000","768,506",Nation-state,Zero-day,AI-based Detection,11
838,Australia,2018,Phishing,Healthcare,"$39,940,000","755,469",Hacker Group,Social Engineering,Antivirus,58
839,India,2022,Ransomware,Retail,"$74,050,000","205,336",Hacker Group,Social Engineering,AI-based Detection,2
840,France,2020,DDoS,IT,"$7,520,000","957,779",Nation-state,Social Engineering,Encryption,17
841,UK,2017,Malware,Education,"$29,470,000","85,644",Hacker Group,Social Engineering,AI-based Detection,3
842,France,2019,Man in the Middle,Communications,"$75,990,000","561,713",Insider,Unpatched Software,Firewall,31
843,Germany,2017,Phishing,Healthcare,"$53,570,000","287,762",Insider,Weak Passwords,Encryption,13
844,India,2015,Phishing,Healthcare,"$76,080,000","471,550",Unknown,Zero-day,VPN,5
845,Japan,2018,SQL Injection,IT,"$69,190,000","33,209",Insider,Unpatched Software,AI-based Detection,66
846,China,2017,Phishing,Retail,"$45,830,000","395,251",Unknown,Unpatched Software,Encryption,33
847,Germany,2019,DDoS,IT,"$14,770,000","491,791",Hacker Group,Zero-day,Encryption,66
848,Australia,2016,Phishing,Healthcare,"$53,810,000","279,874",Hacker Group,Unpatched Software,AI-based Detection,66
849,France,2019,Malware,IT,"$71,940,000","881,326",Insider,Unpatched Software,Firewall,43
850,UK,2023,DDoS,IT,"$68,860,000","749,700",Nation-state,Zero-day,AI-based Detection,35
851,UK,2022,Phishing,Government,"$97,560,000","722,445",Nation-state,Weak Passwords,Firewall,10
852,USA,2023,Ransomware,Government,"$84,130,000","695,841",Nation-state,Zero-day,AI-based Detection,21
